09:36:00 INFO:Start training with [gpu(0)]
09:58:55 INFO:Epoch[9] Batch [3660]	Speed: 51.04 samples/sec	Train-Perplexity=4.474323
09:59:02 INFO:Epoch[9] Batch [3680]	Speed: 56.53 samples/sec	Train-Perplexity=4.274488
09:59:09 INFO:Epoch[9] Batch [3700]	Speed: 57.41 samples/sec	Train-Perplexity=4.404316
09:59:16 INFO:Epoch[9] Batch [3720]	Speed: 55.03 samples/sec	Train-Perplexity=4.592100
09:59:24 INFO:Epoch[9] Batch [3740]	Speed: 51.87 samples/sec	Train-Perplexity=4.129817
09:59:31 INFO:Epoch[9] Batch [3760]	Speed: 54.64 samples/sec	Train-Perplexity=4.195488
09:59:39 INFO:Epoch[9] Batch [3780]	Speed: 51.18 samples/sec	Train-Perplexity=4.292495
09:59:46 INFO:Epoch[9] Batch [3800]	Speed: 56.15 samples/sec	Train-Perplexity=4.305457
09:59:54 INFO:Epoch[9] Batch [3820]	Speed: 52.94 samples/sec	Train-Perplexity=4.981194
10:00:01 INFO:Epoch[9] Batch [3840]	Speed: 54.10 samples/sec	Train-Perplexity=4.405418
10:00:08 INFO:Epoch[9] Batch [3860]	Speed: 57.88 samples/sec	Train-Perplexity=4.752334
10:00:16 INFO:Epoch[9] Batch [3880]	Speed: 51.66 samples/sec	Train-Perplexity=4.282554
10:00:24 INFO:Epoch[9] Batch [3900]	Speed: 49.91 samples/sec	Train-Perplexity=4.552511
10:00:31 INFO:Epoch[9] Batch [3920]	Speed: 52.76 samples/sec	Train-Perplexity=4.301431
10:00:39 INFO:Epoch[9] Batch [3940]	Speed: 52.52 samples/sec	Train-Perplexity=4.445246
10:00:46 INFO:Epoch[9] Batch [3960]	Speed: 56.41 samples/sec	Train-Perplexity=4.745791
10:00:53 INFO:Epoch[9] Batch [3980]	Speed: 54.19 samples/sec	Train-Perplexity=4.924841
10:01:01 INFO:Epoch[9] Batch [4000]	Speed: 55.58 samples/sec	Train-Perplexity=4.521720
10:01:08 INFO:Epoch[9] Batch [4020]	Speed: 53.50 samples/sec	Train-Perplexity=4.399221
10:01:15 INFO:Epoch[9] Batch [4040]	Speed: 57.81 samples/sec	Train-Perplexity=4.527664
10:01:23 INFO:Epoch[9] Batch [4060]	Speed: 50.44 samples/sec	Train-Perplexity=4.184795
10:01:30 INFO:Epoch[9] Batch [4080]	Speed: 56.74 samples/sec	Train-Perplexity=4.620292
10:01:37 INFO:Epoch[9] Batch [4100]	Speed: 55.34 samples/sec	Train-Perplexity=4.301459
10:01:45 INFO:Epoch[9] Batch [4120]	Speed: 53.67 samples/sec	Train-Perplexity=4.651768
10:01:52 INFO:Epoch[9] Batch [4140]	Speed: 57.42 samples/sec	Train-Perplexity=4.286253
10:02:00 INFO:Epoch[9] Batch [4160]	Speed: 50.74 samples/sec	Train-Perplexity=4.250058
10:02:06 INFO:Epoch[9] Batch [4180]	Speed: 58.29 samples/sec	Train-Perplexity=4.528755
10:02:13 INFO:Epoch[9] Batch [4200]	Speed: 58.99 samples/sec	Train-Perplexity=4.428032
10:02:20 INFO:Epoch[9] Batch [4220]	Speed: 55.65 samples/sec	Train-Perplexity=4.751681
10:02:28 INFO:Epoch[9] Batch [4240]	Speed: 54.11 samples/sec	Train-Perplexity=4.210680
10:02:35 INFO:Epoch[9] Batch [4260]	Speed: 52.95 samples/sec	Train-Perplexity=4.467662
10:02:43 INFO:Epoch[9] Batch [4280]	Speed: 51.60 samples/sec	Train-Perplexity=4.216087
10:02:51 INFO:Epoch[9] Batch [4300]	Speed: 50.00 samples/sec	Train-Perplexity=4.596767
10:02:58 INFO:Epoch[9] Batch [4320]	Speed: 55.49 samples/sec	Train-Perplexity=4.220764
10:03:06 INFO:Epoch[9] Batch [4340]	Speed: 53.03 samples/sec	Train-Perplexity=4.632355
10:03:13 INFO:Epoch[9] Batch [4360]	Speed: 55.83 samples/sec	Train-Perplexity=4.328012
10:03:20 INFO:Epoch[9] Batch [4380]	Speed: 55.88 samples/sec	Train-Perplexity=4.792108
10:03:27 INFO:Epoch[9] Batch [4400]	Speed: 55.68 samples/sec	Train-Perplexity=4.561406
10:03:35 INFO:Epoch[9] Batch [4420]	Speed: 52.46 samples/sec	Train-Perplexity=4.319671
10:03:42 INFO:Epoch[9] Batch [4440]	Speed: 54.37 samples/sec	Train-Perplexity=4.349470
10:03:50 INFO:Epoch[9] Batch [4460]	Speed: 54.47 samples/sec	Train-Perplexity=4.510327
10:03:57 INFO:Epoch[9] Batch [4480]	Speed: 52.88 samples/sec	Train-Perplexity=4.485787
10:04:04 INFO:Epoch[9] Batch [4500]	Speed: 55.07 samples/sec	Train-Perplexity=4.295492
10:04:12 INFO:Epoch[9] Batch [4520]	Speed: 54.13 samples/sec	Train-Perplexity=4.177884
10:04:20 INFO:Epoch[9] Batch [4540]	Speed: 51.82 samples/sec	Train-Perplexity=4.429365
10:04:27 INFO:Epoch[9] Batch [4560]	Speed: 51.88 samples/sec	Train-Perplexity=4.375579
10:04:35 INFO:Epoch[9] Batch [4580]	Speed: 54.17 samples/sec	Train-Perplexity=4.173080
10:04:43 INFO:Epoch[9] Batch [4600]	Speed: 51.13 samples/sec	Train-Perplexity=4.387887
10:04:50 INFO:Epoch[9] Batch [4620]	Speed: 52.68 samples/sec	Train-Perplexity=3.779416
10:04:57 INFO:Epoch[9] Batch [4640]	Speed: 54.34 samples/sec	Train-Perplexity=4.282243
10:05:05 INFO:Epoch[9] Batch [4660]	Speed: 51.33 samples/sec	Train-Perplexity=4.295510
10:05:13 INFO:Epoch[9] Batch [4680]	Speed: 53.01 samples/sec	Train-Perplexity=4.678168
10:05:20 INFO:Epoch[9] Batch [4700]	Speed: 55.05 samples/sec	Train-Perplexity=4.721482
10:05:27 INFO:Epoch[9] Batch [4720]	Speed: 54.06 samples/sec	Train-Perplexity=4.500750
10:05:35 INFO:Epoch[9] Batch [4740]	Speed: 53.90 samples/sec	Train-Perplexity=4.261724
10:05:43 INFO:Epoch[9] Batch [4760]	Speed: 51.32 samples/sec	Train-Perplexity=4.720850
10:05:50 INFO:Epoch[9] Batch [4780]	Speed: 53.09 samples/sec	Train-Perplexity=4.471356
10:05:57 INFO:Epoch[9] Batch [4800]	Speed: 56.44 samples/sec	Train-Perplexity=4.283624
